DateTime,Gate,Ingress,Egress
2024-12-31 08:45:00,SOUTH GATE,6,2
2024-12-31 08:45:00,THE LIVING WORLD,14,1
2024-12-31 09:00:00,SOUTH GATE,12,1
2024-12-31 09:00:00,THE LIVING WORLD,36,4
2024-12-31 09:15:00,SOUTH GATE,7,0
2024-12-31 09:15:00,THE LIVING WORLD,14,1
2024-12-31 09:30:00,SOUTH GATE,6,1
2024-12-31 09:30:00,THE LIVING WORLD,39,0
2024-12-31 09:45:00,SOUTH GATE,27,2
2024-12-31 09:45:00,THE LIVING WORLD,28,1
2024-12-31 10:00:00,SOUTH GATE,37,2
2024-12-31 10:00:00,THE LIVING WORLD,33,4
2024-12-31 10:15:00,SOUTH GATE,9,2
2024-12-31 10:15:00,THE LIVING WORLD,27,4
2024-12-31 10:30:00,SOUTH GATE,0,2
2024-12-31 10:30:00,THE LIVING WORLD,20,7
2024-12-31 10:45:00,SOUTH GATE,24,1
2024-12-31 10:45:00,THE LIVING WORLD,39,23
2024-12-31 11:00:00,SOUTH GATE,16,1
2024-12-31 11:00:00,THE LIVING WORLD,44,19
2024-12-31 11:15:00,SOUTH GATE,12,0
2024-12-31 11:15:00,THE LIVING WORLD,53,18
2024-12-31 11:30:00,SOUTH GATE,26,5
2024-12-31 11:30:00,THE LIVING WORLD,18,21
2024-12-31 11:45:00,SOUTH GATE,51,2
2024-12-31 11:45:00,THE LIVING WORLD,20,25
2024-12-31 12:00:00,SOUTH GATE,12,13
2024-12-31 12:00:00,THE LIVING WORLD,50,21
2024-12-31 12:15:00,SOUTH GATE,46,15
2024-12-31 12:15:00,THE LIVING WORLD,35,43
2024-12-31 12:30:00,SOUTH GATE,28,10
2024-12-31 12:30:00,THE LIVING WORLD,42,37
2024-12-31 12:45:00,SOUTH GATE,17,19
2024-12-31 12:45:00,THE LIVING WORLD,34,35
2024-12-31 13:00:00,SOUTH GATE,31,2
2024-12-31 13:00:00,THE LIVING WORLD,43,24
2024-12-31 13:15:00,SOUTH GATE,44,34
2024-12-31 13:15:00,THE LIVING WORLD,34,31
2024-12-31 13:30:00,SOUTH GATE,39,30
2024-12-31 13:30:00,THE LIVING WORLD,29,40
2024-12-31 13:45:00,SOUTH GATE,19,17
2024-12-31 13:45:00,THE LIVING WORLD,28,53
2024-12-31 14:00:00,SOUTH GATE,19,29
2024-12-31 14:00:00,THE LIVING WORLD,43,73
2024-12-31 14:15:00,SOUTH GATE,4,43
2024-12-31 14:15:00,THE LIVING WORLD,27,51
2024-12-31 14:30:00,SOUTH GATE,9,37
2024-12-31 14:30:00,THE LIVING WORLD,3,60
2024-12-31 14:45:00,SOUTH GATE,3,142
2024-12-31 14:45:00,THE LIVING WORLD,9,83
2024-12-31 15:00:00,SOUTH GATE,2,103
2024-12-31 15:00:00,THE LIVING WORLD,8,127
2024-12-31 15:15:00,SOUTH GATE,0,18
2024-12-31 15:15:00,THE LIVING WORLD,2,29
2024-12-31 15:30:00,SOUTH GATE,0,2
2024-12-31 15:30:00,THE LIVING WORLD,0,6
2024-12-31 15:45:00,THE LIVING WORLD,0,1
2024-12-31 16:00:00,THE LIVING WORLD,0,1
2024-12-31 16:30:00,THE LIVING WORLD,0,1
2024-12-31 19:00:00,THE LIVING WORLD,1,1
2024-12-31 19:30:00,THE LIVING WORLD,0,3
2025-01-01 10:00:00,THE LIVING WORLD,9,2
2025-01-01 10:30:00,THE LIVING WORLD,0,8
2025-01-01 11:00:00,SOUTH GATE,0,5
2025-01-01 11:15:00,SOUTH GATE,1,1
